game_id,game_name,provider,game_type,rtp_pct,volatility,mobile_ready,live_dealer,launch_date,is_active,has_bonus_round,min_bet_usd,max_bet_usd
GM00001,Game_00001,Play n GO,Slots,97.03,High,1,0,2020-07-04,0,1,0.2,5000
GM00002,Game_00002,Hacksaw,Table Games,95.51,Medium,1,0,2018-06-16,1,0,1.0,1000
GM00003,Game_00003,Evolution,Slots,93.66,Low,1,0,2020-09-08,1,0,0.5,100
GM00004,Game_00004,NetEnt,Crash,97.52,Medium,1,0,2020-07-03,1,1,0.1,500
GM00005,Game_00005,Relax Gaming,Slots,96.33,High,1,0,2024-03-31,1,0,0.5,1000
GM00006,Game_00006,BGaming,Slots,92.3,Low,1,0,2021-07-07,1,0,0.1,5000
GM00007,Game_00007,Play n GO,Live Casino,96.33,High,1,1,2023-11-05,1,1,0.1,5000
GM00008,Game_00008,Pragmatic Play,Virtual Sports,97.49,Low,1,0,2019-04-13,1,0,0.2,250
GM00009,Game_00009,Spribe,Live Casino,98.57,High,1,1,2021-06-25,1,1,0.2,500
GM00010,Game_00010,Hacksaw,Table Games,92.17,Medium,0,0,2023-01-27,1,1,0.1,100
GM00011,Game_00011,Playtech,Live Casino,97.2,Medium,1,1,2018-01-08,1,0,0.5,250
GM00012,Game_00012,Microgaming,Virtual Sports,93.16,Medium,1,0,2023-04-09,1,0,0.1,5000
GM00013,Game_00013,Spribe,Slots,94.01,Medium,0,0,2019-12-19,1,0,0.2,100
GM00014,Game_00014,Play n GO,Live Casino,99.42,Medium,1,1,2024-10-26,1,1,1.0,5000
GM00015,Game_00015,Spribe,Crash,94.83,Low,1,0,2018-05-17,1,1,1.0,1000
GM00016,Game_00016,Evolution,Crash,94.51,Medium,1,0,2019-12-29,1,0,0.5,1000
GM00017,Game_00017,BGaming,Slots,95.28,Medium,1,0,2018-02-03,1,1,1.0,250
GM00018,Game_00018,BGaming,Live Casino,99.38,Medium,0,1,2021-12-18,1,1,0.1,250
GM00019,Game_00019,Pragmatic Play,Table Games,93.12,High,1,0,2019-04-08,1,1,1.0,500
GM00020,Game_00020,Microgaming,Slots,95.25,Low,1,0,2020-07-27,1,1,0.2,1000
GM00021,Game_00021,Evolution,Slots,94.98,High,1,0,2022-03-15,1,1,1.0,100
GM00022,Game_00022,Relax Gaming,Table Games,93.53,High,1,0,2024-01-16,1,0,1.0,500
GM00023,Game_00023,NetEnt,Live Casino,98.06,Medium,0,1,2024-05-25,1,1,0.2,500
GM00024,Game_00024,Relax Gaming,Slots,96.88,High,1,0,2020-02-19,1,0,1.0,100
GM00025,Game_00025,Hacksaw,Slots,96.53,High,1,0,2022-09-21,0,1,0.1,250
GM00026,Game_00026,NetEnt,Slots,95.86,High,1,0,2020-01-16,1,1,0.2,500
GM00027,Game_00027,Microgaming,Live Casino,98.75,Medium,0,1,2020-11-28,1,0,1.0,100
