operator_id,month,plan_tier,casino_ggr_usd,sports_ggr_usd,total_ggr_usd,net_software_revenue_usd,monthly_license_fee_usd,active_players,new_registrations,deposits_count,total_deposits_usd,bonus_cost_usd
OP0001,2023-10,Starter,6899.2,3714.95,10614.15,1383.46,2500,1161,92,521,107796.28,543.85
OP0001,2023-11,Starter,6149.73,3311.4,9461.13,1872.16,2500,240,33,122,22890.1,685.95
OP0001,2023-12,Starter,6482.46,3490.55,9973.01,1365.56,2500,1186,135,769,89827.99,970.61
OP0001,2024-01,Starter,7575.49,4079.11,11654.6,1981.52,2500,737,103,505,55043.61,546.44
OP0001,2024-02,Starter,7393.78,3981.26,11375.04,1553.9,2500,1368,126,894,115528.97,894.4
OP0001,2024-03,Starter,5991.71,3226.3,9218.01,1560.13,2500,837,140,551,75641.12,382.1
OP0001,2024-04,Starter,7484.8,4030.28,11515.08,1894.29,2500,1407,267,448,161045.88,1003.73
OP0001,2024-05,Starter,6816.34,3670.33,10486.67,1899.93,2500,90,9,55,6598.86,1014.89
OP0001,2024-06,Starter,7999.97,4307.67,12307.64,2220.27,2500,1449,91,856,120641.08,663.37
OP0001,2024-07,Starter,8299.21,4468.81,12768.02,2708.73,2500,171,10,90,19026.95,759.48
OP0001,2024-08,Starter,8159.53,4393.6,12553.13,2205.67,2500,297,21,196,33147.53,591.38
OP0001,2024-09,Starter,6393.47,3442.63,9836.1,1967.42,2500,726,47,379,30696.02,423.22
OP0001,2024-10,Starter,7903.69,4255.84,12159.53,2221.09,2500,430,40,240,17209.2,534.03
OP0001,2024-11,Starter,7311.67,3937.05,11248.72,2435.57,2500,958,177,383,37439.49,803.61
OP0001,2024-12,Starter,6653.79,3582.81,10236.6,1957.03,2500,1046,174,689,71818.96,430.76
OP0002,2023-07,Starter,4853.0,2613.16,7466.16,1133.11,2500,746,133,403,84101.82,726.51
OP0002,2023-08,Starter,6030.95,3247.43,9278.38,1942.72,2500,266,41,92,17558.01,755.18
OP0002,2023-09,Starter,7192.83,3873.06,11065.89,1570.15,2500,1473,283,762,128160.02,721.16
OP0002,2023-10,Starter,5304.4,2856.22,8160.62,1647.15,2500,1271,209,401,112448.18,769.59
OP0002,2023-11,Starter,4879.62,2627.49,7507.1,1141.36,2500,1077,175,616,47334.78,321.85
OP0002,2023-12,Starter,6639.89,3575.32,10215.21,1895.4,2500,496,86,232,51662.64,810.07
OP0002,2024-01,Starter,6949.26,3741.91,10691.17,1548.64,2500,1048,168,401,28375.15,761.01
OP0002,2024-02,Starter,6272.42,3377.46,9649.88,1621.59,2500,1072,83,406,47387.86,959.46
OP0002,2024-03,Starter,5258.82,2831.67,8090.5,1755.61,2500,1365,265,652,44532.75,598.07
OP0002,2024-04,Starter,6327.02,3406.86,9733.88,1846.81,2500,527,34,283,62679.22,485.44
OP0002,2024-05,Starter,5004.55,2694.76,7699.31,994.66,2500,424,53,186,14296.86,700.55
OP0002,2024-06,Starter,5107.06,2749.95,7857.01,1541.53,2500,1155,181,684,64277.48,443.54
OP0002,2024-07,Starter,7023.82,3782.06,10805.88,1478.66,2500,1375,272,690,79934.96,990.93
OP0002,2024-08,Starter,5280.4,2843.29,8123.69,1340.47,2500,887,155,490,24785.67,806.25
OP0002,2024-09,Starter,5364.41,2888.53,8252.94,999.61,2500,511,91,282,55005.65,460.73
OP0002,2024-10,Starter,6664.99,3588.84,10253.83,1782.63,2500,205,28,141,20573.94,761.13
OP0002,2024-11,Starter,7493.19,4034.79,11527.98,1852.76,2500,171,28,79,16046.74,871.28
OP0002,2024-12,Starter,6907.15,3719.23,10626.38,2012.32,2500,1186,117,721,66433.78,937.33
OP0003,2023-09,Starter,18448.48,9933.8,28382.28,3626.88,2500,553,92,185,33944.75,1892.08
OP0003,2023-10,Starter,18965.8,10212.35,29178.15,5909.35,2500,959,119,454,114043.76,1418.48
OP0003,2023-11,Starter,20085.97,10815.52,30901.49,5489.61,2500,1370,84,561,62586.61,1696.07
OP0003,2023-12,Starter,18595.38,10012.89,28608.27,3918.24,2500,282,40,97,18917.73,2349.03
OP0003,2024-01,Starter,19288.74,10386.25,29674.99,5486.06,2500,718,136,490,21920.66,1743.1
OP0003,2024-02,Starter,18812.44,10129.77,28942.21,3988.15,2500,165,13,49,5438.7,1827.19
OP0003,2024-03,Starter,20142.74,10846.09,30988.83,6120.65,2500,1036,189,628,110750.8,2711.37
OP0003,2024-04,Starter,21056.76,11338.26,32395.02,4620.97,2500,908,88,474,108027.43,1303.96
OP0003,2024-05,Starter,16726.63,9006.64,25733.27,5145.56,2500,1313,190,871,119798.54,2245.14
OP0003,2024-06,Starter,13287.36,7154.73,20442.09,4163.14,2500,18,1,9,653.59,993.81
OP0003,2024-07,Starter,15763.86,8488.23,24252.1,3632.86,2500,1316,231,617,107993.2,1964.11
OP0003,2024-08,Starter,16164.98,8704.22,24869.2,4380.76,2500,1172,71,805,34753.36,2298.63
OP0003,2024-09,Starter,16465.92,8866.27,25332.19,4126.46,2500,1246,62,514,32590.04,2221.52
OP0003,2024-10,Starter,18586.66,10008.2,28594.86,3859.64,2500,809,70,387,43778.48,2460.64
OP0003,2024-11,Starter,12820.32,6903.25,19723.57,4054.55,2500,986,139,666,96641.57,802.23
OP0003,2024-12,Starter,16306.92,8780.65,25087.57,3606.25,2500,1231,124,833,146727.74,2283.15
OP0004,2023-08,Starter,24523.32,13204.86,37728.18,6395.66,2500,1287,188,688,88533.63,2725.42
OP0004,2023-09,Starter,20167.75,10859.56,31027.31,6759.78,2500,225,13,102,6537.79,2669.8
OP0004,2023-10,Starter,16729.65,9008.27,25737.92,5107.49,2500,156,13,88,3722.52,1173.18
OP0004,2023-11,Starter,18782.5,10113.66,28896.16,5292.28,2500,1394,177,550,106128.15,1688.79
OP0004,2023-12,Starter,21357.49,11500.18,32857.67,6629.05,2500,831,62,252,63589.94,1498.75
OP0004,2024-01,Starter,19227.94,10353.51,29581.45,3840.59,2500,1096,218,711,118526.51,1566.86
OP0004,2024-02,Starter,19233.52,10356.51,29590.03,4253.87,2500,94,9,48,3208.6,2004.69
OP0004,2024-03,Starter,16058.67,8646.98,24705.65,4476.24,2500,105,5,45,9593.78,1471.47
OP0004,2024-04,Starter,20175.38,10863.66,31039.04,6452.05,2500,804,128,340,86752.98,2931.38
OP0004,2024-05,Starter,22466.07,12097.12,34563.19,6511.05,2500,990,99,503,74507.18,2039.46
OP0004,2024-06,Starter,20380.61,10974.17,31354.78,4930.22,2500,1266,131,833,102658.74,2874.06
OP0004,2024-07,Starter,21359.54,11501.29,32860.83,4221.45,2500,1390,249,584,122834.72,1450.84
OP0004,2024-08,Starter,16333.07,8794.73,25127.8,4597.02,2500,806,48,439,27809.96,1337.3
OP0004,2024-09,Starter,15994.12,8612.22,24606.34,3271.61,2500,186,31,122,12148.17,1412.95
OP0004,2024-10,Starter,17267.47,9297.87,26565.34,3273.97,2500,718,139,467,55199.44,1213.42
OP0004,2024-11,Starter,18290.77,9848.88,28139.65,5319.04,2500,1106,194,407,87598.4,1748.29
OP0004,2024-12,Starter,21600.53,11631.05,33231.58,7045.63,2500,45,8,13,1108.94,2602.5
OP0005,2023-01,Starter,16198.95,8722.51,24921.46,4694.29,2500,1204,206,609,128206.87,2330.95
OP0005,2023-02,Starter,15653.4,8428.75,24082.15,3544.98,2500,1096,183,612,93690.86,1882.98
OP0005,2023-03,Starter,9889.1,5324.9,15214.0,3309.17,2500,1435,178,932,83070.17,1413.29
OP0005,2023-04,Starter,9668.46,5206.09,14874.55,2225.22,2500,763,50,449,83686.68,1324.69
OP0005,2023-05,Starter,11137.78,5997.27,17135.05,2091.13,2500,724,121,350,41225.6,1183.3
OP0005,2023-06,Starter,13686.84,7369.83,21056.67,4262.08,2500,1030,89,401,62353.97,1379.33
OP0005,2023-07,Starter,12860.0,6924.62,19784.62,2809.38,2500,19,1,12,802.34,1978.44
OP0005,2023-08,Starter,10637.39,5727.82,16365.21,2952.53,2500,544,67,185,21911.89,926.25
OP0005,2023-09,Starter,10748.92,5787.88,16536.8,2306.68,2500,118,21,64,9682.84,1631.43
OP0005,2023-10,Starter,15431.81,8309.43,23741.24,4799.09,2500,428,32,206,14852.64,1621.92
OP0005,2023-11,Starter,10302.81,5547.67,15850.48,2452.49,2500,1460,231,1016,104737.84,1278.32
OP0005,2023-12,Starter,14066.94,7574.5,21641.44,2863.08,2500,305,35,198,6524.17,1527.47
OP0005,2024-01,Starter,12278.64,6611.58,18890.22,3831.81,2500,399,22,204,42560.19,1848.64
OP0005,2024-02,Starter,10927.47,5884.02,16811.49,2675.2,2500,596,61,414,28190.54,1525.63
OP0005,2024-03,Starter,11708.76,6304.72,18013.48,3255.57,2500,227,30,117,6769.92,1336.11
OP0005,2024-04,Starter,14238.89,7667.1,21905.99,4590.19,2500,702,104,261,46185.85,1499.53
OP0005,2024-05,Starter,12022.41,6473.6,18496.01,2721.66,2500,647,109,320,76946.3,1683.17
OP0005,2024-06,Starter,11985.9,6453.94,18439.84,2597.38,2500,1169,153,762,63401.05,937.8
OP0005,2024-07,Starter,10761.3,5794.55,16555.85,2371.16,2500,1202,106,767,89818.84,947.03
OP0005,2024-08,Starter,14412.08,7760.35,22172.43,3470.12,2500,1436,147,516,140278.4,1069.38
OP0005,2024-09,Starter,13802.26,7431.98,21234.24,4297.12,2500,585,105,306,40243.88,867.65
OP0005,2024-10,Starter,13377.81,7203.43,20581.24,2474.22,2500,436,43,164,26750.25,1848.68
OP0005,2024-11,Starter,14951.3,8050.7,23002.0,3646.87,2500,1041,69,713,36350.85,1062.43
OP0005,2024-12,Starter,12237.42,6589.38,18826.8,2316.32,2500,456,60,170,16805.34,1302.41
OP0006,2023-01,Growth,95300.2,51315.49,146615.69,26732.24,7500,860,80,540,84280.54,7568.1
OP0006,2023-02,Growth,124270.18,66914.71,191184.89,29575.24,7500,2127,153,888,255170.71,8040.77
OP0006,2023-03,Growth,124105.51,66826.05,190931.56,34443.74,7500,395,58,154,18586.42,16094.55
OP0006,2023-04,Growth,111933.11,60271.67,172204.78,27001.91,7500,703,105,351,42078.37,11512.8
OP0006,2023-05,Growth,93481.95,50336.44,143818.39,26785.65,7500,2245,196,1241,220777.37,7213.35
OP0006,2023-06,Growth,119015.71,64085.38,183101.09,29715.06,7500,1409,114,913,28364.41,12338.97
OP0006,2023-07,Growth,119385.16,64284.32,183669.48,31378.31,7500,4288,597,2948,190925.81,9965.36
OP0006,2023-08,Growth,123366.15,66427.92,189794.07,35049.5,7500,3029,289,2096,127080.11,15849.7
OP0006,2023-09,Growth,97518.56,52510.0,150028.56,21396.23,7500,4287,230,2078,410997.1,7222.29
OP0006,2023-10,Growth,120964.97,65134.99,186099.96,38558.34,7500,2543,493,1434,73048.39,7536.58
OP0006,2023-11,Growth,91592.36,49318.97,140911.33,19372.49,7500,2565,384,1775,289565.28,9751.51
OP0006,2023-12,Growth,110763.99,59642.15,170406.14,36944.28,7500,250,46,119,20292.18,11894.95
OP0006,2024-01,Growth,102976.63,55448.95,158425.58,23112.38,7500,772,73,406,35543.83,7084.54
OP0006,2024-02,Growth,103875.46,55932.94,159808.4,24633.49,7500,619,84,419,54334.95,8510.74
OP0006,2024-03,Growth,89310.08,48090.04,137400.12,19385.0,7500,3487,535,1372,401503.23,10488.0
OP0006,2024-04,Growth,139041.83,74868.67,213910.5,40822.39,7500,3949,367,2728,241652.29,11727.9
OP0006,2024-05,Growth,120583.61,64929.63,185513.24,39383.5,7500,1659,145,627,113242.09,8134.66
OP0006,2024-06,Growth,144629.24,77877.29,222506.53,43179.48,7500,3370,180,1425,371403.36,20136.69
OP0006,2024-07,Growth,99961.66,53825.51,153787.17,31704.6,7500,4028,404,2201,370354.39,9211.61
OP0006,2024-08,Growth,116993.05,62996.26,179989.31,38855.3,7500,1984,383,958,48608.97,12305.66
OP0006,2024-09,Growth,100738.74,54243.94,154982.68,31879.97,7500,396,70,201,23002.17,13595.66
OP0006,2024-10,Growth,110907.39,59719.37,170626.76,28244.27,7500,4393,594,2230,219418.16,10125.77
OP0006,2024-11,Growth,99981.11,53835.98,153817.09,22419.49,7500,3506,562,1480,355932.56,9105.27
OP0006,2024-12,Growth,94398.66,50830.04,145228.7,27793.93,7500,4329,508,2381,271957.94,13794.97
OP0007,2023-07,Starter,21305.89,11472.4,32778.29,7040.7,2500,647,125,411,13624.01,1704.39
OP0007,2023-08,Starter,18425.91,9921.64,28347.55,4889.74,2500,543,37,379,61842.87,2001.66
OP0007,2023-09,Starter,18512.1,9968.05,28480.15,5048.59,2500,586,51,298,32186.09,1861.39
OP0007,2023-10,Starter,20229.38,10892.75,31122.13,6631.81,2500,571,49,368,61035.21,2268.15
OP0007,2023-11,Starter,21665.27,11665.91,33331.18,5844.29,2500,1347,139,932,155282.08,2652.72
OP0007,2023-12,Starter,17415.12,9377.38,26792.5,5793.45,2500,500,86,256,49353.21,1875.03
OP0007,2024-01,Starter,19433.65,10464.28,29897.93,4299.21,2500,1128,204,362,120087.88,2739.23
OP0007,2024-02,Starter,20090.07,10817.73,30907.8,6581.94,2500,787,138,486,22280.64,1317.94
OP0007,2024-03,Starter,19147.53,10310.21,29457.74,4343.8,2500,44,4,27,1643.16,2858.8
OP0007,2024-04,Starter,19197.44,10337.08,29534.52,4886.23,2500,1351,230,478,101954.81,1262.99
OP0007,2024-05,Starter,17421.13,9380.61,26801.74,4223.94,2500,43,3,17,1701.65,2097.75
OP0007,2024-06,Starter,22104.93,11902.65,34007.58,6111.69,2500,901,65,302,101520.22,1629.52
OP0008,2023-01,Growth,40520.64,21818.8,62339.44,9565.28,7500,3270,216,1556,177221.1,4071.48
OP0008,2023-02,Growth,51140.69,27537.29,78677.98,15225.93,7500,766,137,261,79364.8,4421.04
OP0008,2023-03,Growth,56864.37,30619.27,87483.64,15529.89,7500,1273,193,821,129956.83,6725.1
OP0008,2023-04,Growth,39801.25,21431.44,61232.69,8812.08,7500,2104,189,946,149780.99,4024.73
OP0008,2023-05,Growth,50527.01,27206.85,77733.86,14760.38,7500,3104,171,1997,344097.91,4138.91
OP0008,2023-06,Growth,54150.0,29157.69,83307.69,14527.93,7500,726,141,234,51476.0,6550.58
OP0008,2023-07,Growth,63167.35,34013.19,97180.54,12033.12,7500,3862,357,2551,92835.48,3920.59
OP0008,2023-08,Growth,49671.4,26746.14,76417.54,9627.03,7500,4510,824,1958,395562.24,6953.43
OP0008,2023-09,Growth,51653.97,27813.67,79467.64,15180.3,7500,2116,366,872,114358.54,4523.94
OP0009,2023-01,Starter,20498.7,11037.76,31536.46,4873.58,2500,1300,173,861,153892.26,1571.93
OP0009,2023-02,Starter,16769.44,9029.7,25799.14,3201.88,2500,804,152,264,48952.8,1220.47
OP0009,2023-03,Starter,18119.91,9756.88,27876.79,4662.62,2500,312,52,215,11362.6,2113.21
OP0009,2023-04,Starter,17069.03,9191.02,26260.05,3565.27,2500,1471,209,604,59229.35,2040.4
OP0009,2023-05,Starter,17485.58,9415.31,26900.89,4769.27,2500,1240,84,856,70918.88,1444.49
OP0009,2023-06,Starter,17284.78,9307.19,26591.97,4936.05,2500,834,66,283,70056.79,1809.27
OP0009,2023-07,Starter,24168.85,13014.0,37182.85,7107.56,2500,902,79,368,102799.91,1569.54
OP0009,2023-08,Starter,21169.21,11398.81,32568.02,6454.19,2500,626,102,330,47147.8,2291.38
OP0009,2023-09,Starter,24937.3,13427.77,38365.07,6390.75,2500,23,3,13,2130.54,3480.24
OP0009,2023-10,Starter,19153.63,10313.5,29467.13,5287.89,2500,127,21,64,13740.19,2930.16
OP0009,2023-11,Starter,20357.71,10961.85,31319.56,6590.93,2500,1074,85,736,86964.4,1510.49
OP0009,2023-12,Starter,21245.36,11439.81,32685.17,6627.58,2500,1219,111,615,86613.11,1990.41
OP0009,2024-01,Starter,17393.38,9365.67,26759.05,5271.97,2500,1449,209,958,105141.65,2477.15
OP0009,2024-02,Starter,16524.44,8897.77,25422.21,3582.56,2500,1092,129,599,89286.73,1614.56
OP0009,2024-03,Starter,22820.27,12287.84,35108.11,4636.97,2500,182,20,61,5195.52,2528.79
