transaction_id,operator_id,player_id,transaction_date,transaction_type,payment_method,amount_usd,currency,status,processing_time_sec,fee_usd,country,is_first_deposit
TXN0000001,OP0057,PLR001969,2024-04-17 16:39:15,Deposit,E-Wallet,275.09,USD,Completed,1857,2.36,ZA,0
TXN0000002,OP0077,PLR005088,2024-03-20 16:27:55,Bonus Credit,Bank Transfer,3642.74,USD,Completed,2514,23.84,BR,0
TXN0000003,OP0031,PLR005064,2024-05-02 03:15:20,Deposit,Mobile Money,3342.86,EUR,Completed,3549,50.79,IN,0
TXN0000004,OP0030,PLR005966,2024-05-06 07:40:35,Deposit,Mobile Money,2620.01,USD,Pending,,27.17,IN,0
TXN0000005,OP0046,PLR006583,2024-05-18 17:17:39,Bonus Credit,E-Wallet,2362.53,GBP,Completed,2729,32.25,GB,0
TXN0000006,OP0076,PLR006715,2023-02-10 18:21:40,Bonus Credit,E-Wallet,4978.11,USD,Failed,,140.8,AU,0
TXN0000007,OP0064,PLR004155,2023-07-07 14:43:49,Deposit,Bank Transfer,413.67,USD,Completed,7142,12.05,GB,0
TXN0000008,OP0057,PLR000325,2023-12-13 11:53:59,Bonus Credit,Mobile Money,2453.04,USD,Completed,6281,36.96,PH,1
TXN0000009,OP0060,PLR000962,2024-09-04 14:39:01,Deposit,Mobile Money,3084.32,BTC,Completed,404,21.54,KE,0
TXN0000010,OP0052,PLR002562,2024-07-05 10:25:33,Withdrawal,Mobile Money,4997.14,USD,Completed,3010,31.64,ZA,0
TXN0000011,OP0016,PLR004665,2024-03-05 21:34:51,Deposit,Mobile Money,2261.17,BTC,Completed,6552,26.23,ZA,0
TXN0000012,OP0074,PLR007146,2024-04-30 07:48:22,Deposit,E-Wallet,2714.26,EUR,Completed,5281,25.0,KE,0
TXN0000013,OP0042,PLR006438,2024-03-23 04:46:41,Deposit,Card,2073.17,INR,Completed,4434,24.75,BR,0
TXN0000014,OP0002,PLR007837,2024-01-28 01:20:56,Withdrawal,Crypto,4994.02,GBP,Completed,1192,38.47,DE,0
TXN0000015,OP0049,PLR007397,2023-08-23 15:11:10,Withdrawal,Mobile Money,175.86,BTC,Completed,820,1.32,KE,1
TXN0000016,OP0066,PLR005296,2023-03-04 23:59:03,Deposit,Card,3998.94,GBP,Completed,5725,70.4,CA,0
TXN0000017,OP0015,PLR002695,2024-06-27 04:16:32,Deposit,E-Wallet,3449.92,USD,Completed,5179,50.33,AU,0
TXN0000018,OP0046,PLR001731,2023-10-03 13:01:40,Deposit,E-Wallet,230.76,INR,Failed,,2.17,AU,0
TXN0000019,OP0029,PLR007591,2023-08-15 22:03:06,Deposit,Bank Transfer,2772.99,USD,Completed,2951,81.65,BR,0
TXN0000020,OP0054,PLR003280,2024-02-24 20:09:56,Deposit,E-Wallet,2067.24,USD,Completed,2461,57.22,ZA,0
TXN0000021,OP0078,PLR006749,2024-11-12 15:39:29,Deposit,Mobile Money,1475.46,BTC,Completed,5744,32.3,AU,0
TXN0000022,OP0027,PLR002890,2023-10-28 12:02:46,Withdrawal,Mobile Money,3721.82,USD,Completed,1489,38.26,IN,0
TXN0000023,OP0007,PLR004855,2024-04-06 09:47:18,Bonus Credit,Crypto,1629.46,GBP,Completed,2253,45.95,IN,0
TXN0000024,OP0047,PLR007423,2024-01-28 02:21:38,Deposit,Card,791.42,BTC,Pending,,6.19,PH,0
TXN0000025,OP0060,PLR001273,2023-06-19 09:51:23,Withdrawal,Bank Transfer,454.67,EUR,Completed,1653,7.95,PH,0
TXN0000026,OP0055,PLR005902,2023-12-18 05:59:21,Refund,E-Wallet,1572.3,USD,Completed,3006,27.95,IN,0
