bet_id,operator_id,player_id,bet_date,sport,market_type,bet_type,stake_usd,odds,potential_payout_usd,status,actual_payout_usd,operator_margin_usd,live_bet,country
BET0000001,OP0028,PLR002210,2024-10-25,Rugby,Asian Handicap,Single,203.97,14.56,2969.8,Won,2969.8,-2765.83,1,GB
BET0000002,OP0024,PLR003187,2024-09-07,Basketball,Asian Handicap,Single,309.59,1.14,352.93,Lost,0,309.59,1,IN
BET0000003,OP0025,PLR000790,2024-11-03,Cricket,Both Teams Score,System,453.92,6.24,2832.46,Pending,0,453.92,0,AU
BET0000004,OP0004,PLR001630,2024-11-12,Football,Correct Score,Accumulator,420.8,14.17,5962.74,Lost,0,420.8,0,AU
BET0000005,OP0071,PLR001192,2023-11-11,Football,Asian Handicap,System,446.76,10.09,4507.81,Lost,0,446.76,0,AU
BET0000006,OP0023,PLR005152,2024-12-20,Cricket,Asian Handicap,Single,271.78,10.15,2758.57,Lost,0,271.78,1,NG
BET0000007,OP0051,PLR004840,2024-05-20,Baseball,Both Teams Score,Single,364.38,3.86,1406.51,Won,1406.51,-1042.13,0,BR
BET0000008,OP0018,PLR002059,2023-11-17,Baseball,Over/Under,System,499.82,3.81,1904.31,Won,1904.31,-1404.49,0,AU
BET0000009,OP0044,PLR000229,2024-05-20,Esports,Match Winner,Single,119.59,4.06,485.54,Void,119.59,0.0,0,GB
BET0000010,OP0057,PLR004921,2024-05-02,Tennis,Correct Score,Accumulator,415.47,3.77,1566.32,Lost,0,415.47,1,ZA
BET0000011,OP0003,PLR003821,2023-03-17,Baseball,Match Winner,Single,272.65,11.07,3018.24,Lost,0,272.65,0,NG
BET0000012,OP0024,PLR005323,2023-05-30,Rugby,Both Teams Score,Single,342.88,14.53,4982.05,Pending,0,342.88,1,NG
BET0000013,OP0019,PLR003408,2024-12-29,Baseball,First Goal Scorer,Accumulator,270.24,8.59,2321.36,Lost,0,270.24,0,KE
BET0000014,OP0056,PLR003000,2024-08-07,Baseball,Over/Under,Accumulator,304.68,4.08,1243.09,Lost,0,304.68,0,ZA
BET0000015,OP0070,PLR000829,2023-07-14,Rugby,Asian Handicap,Single,206.12,13.74,2832.09,Void,206.12,0.0,0,PH
BET0000016,OP0078,PLR004801,2023-07-22,Football,Asian Handicap,Single,37.23,3.74,139.24,Lost,0,37.23,0,KE
BET0000017,OP0039,PLR006426,2023-05-08,Rugby,Both Teams Score,Single,286.24,5.9,1688.82,Won,1688.82,-1402.58,0,PH
BET0000018,OP0003,PLR002599,2023-07-03,Rugby,Both Teams Score,System,273.21,11.16,3049.02,Lost,0,273.21,1,CA
BET0000019,OP0053,PLR000164,2024-06-10,Basketball,Asian Handicap,System,23.3,9.28,216.22,Lost,0,23.3,0,NG
BET0000020,OP0040,PLR002099,2023-06-14,Basketball,Correct Score,Single,443.52,11.5,5100.48,Lost,0,443.52,0,BR
BET0000021,OP0070,PLR004359,2024-10-08,Tennis,Match Winner,System,287.73,13.65,3927.51,Won,3927.51,-3639.78,1,BR
BET0000022,OP0045,PLR005983,2024-07-31,Basketball,Correct Score,Single,45.24,11.99,542.43,Won,542.43,-497.19,0,PH
